datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C1;C2;D;D1_liste;D1_summe_kandidaten;D1_summe_liste_kandidaten;D1_1;D1_2;D1_3;D1_4;D1_5;D1_6;D1_7;D1_8;D1_9;D1_10;D1_11;D1_12;D2_liste;D2_summe_kandidaten;D2_summe_liste_kandidaten;D2_1;D2_2;D2_3;D2_4;D2_5;D2_6;D2_7;D2_8;D2_9;D2_10;D2_11;D2_12;D3_liste;D3_summe_kandidaten;D3_summe_liste_kandidaten;D3_1;D3_2;D3_3;D3_4;D3_5;D3_6;D3_7;D3_8;D3_9;D3_10;D4_liste;D4_summe_kandidaten;D4_summe_liste_kandidaten;D4_1;D4_2;D4_3;D4_4;D4_5;D5_liste;D5_summe_kandidaten;D5_summe_liste_kandidaten;D5_1;D5_2;D5_3;D5_4;D5_5;D5_6;D5_7;D5_8;D5_9;D6_liste;D6_summe_kandidaten;D6_summe_liste_kandidaten;D6_1;D7_liste;D7_summe_kandidaten;D7_summe_liste_kandidaten;D7_1;D7_2;D7_3;D7_4;D7_5;D8_liste;D8_summe_kandidaten;D8_summe_liste_kandidaten;D8_1;D8_2;D9_liste;D9_summe_kandidaten;D9_summe_liste_kandidaten;D9_1;D10_liste;D10_summe_kandidaten;D10_summe_liste_kandidaten;D10_1;D11_liste;D11_summe_kandidaten;D11_summe_liste_kandidaten;D11_1;D11_2
12.09.2021;Stadtratswahl;03403000;206;206 Deutsche Rentenversicherung;1;1;805;275;0;1080;379;0;4;375;1108;121;115;236;69;18;10;1;2;3;3;3;3;1;1;1;70;108;178;62;2;3;8;5;1;8;1;0;3;3;12;284;163;447;32;40;15;18;20;17;10;11;;;31;64;95;21;9;28;2;4;30;39;69;16;2;4;4;1;5;7;0;;9;11;20;11;1;0;1;0;0;0;0;;12;10;22;7;3;;;;;;;;;21;19;40;9;10
12.09.2021;Stadtratswahl;03403000;207;207 Graf-Anton-Günther-Schule;1;1;1072;415;0;1487;590;0;3;587;1745;198;216;414;124;45;20;3;5;3;4;2;3;2;4;1;161;169;330;85;14;2;13;2;2;19;1;3;4;3;21;342;216;558;56;64;17;7;23;13;18;18;;;67;114;181;44;6;56;4;4;61;81;142;39;1;13;12;1;7;2;6;;14;8;22;8;0;4;4;2;1;1;0;;6;22;28;5;17;;;;;;;;;48;18;66;12;6
12.09.2021;Stadtratswahl;03403000;208;208 Oberschule Osternburg;1;1;1332;301;0;1633;492;0;6;486;1409;181;242;423;111;79;17;5;2;4;8;0;4;8;3;1;81;99;180;48;18;6;2;0;1;4;9;0;3;1;7;248;163;411;45;49;16;10;10;10;12;11;;;91;140;231;56;17;56;4;7;37;20;57;6;1;1;8;2;0;1;1;;34;11;45;11;2;4;6;3;1;0;0;;6;16;22;5;11;;;;;;;;;21;13;34;7;6
12.09.2021;Stadtratswahl;03403000;209;209 Oberschule Osternburg;1;1;1276;318;0;1594;551;0;10;541;1580;223;266;489;149;56;21;9;3;4;11;4;2;4;2;1;103;112;215;57;7;19;3;2;1;4;1;1;1;1;15;282;151;433;43;34;20;10;11;1;14;18;;;95;104;199;51;3;33;6;11;72;44;116;25;2;3;9;1;0;4;0;;27;16;43;16;8;4;12;2;1;1;0;;14;18;32;5;13;;;;;;;;;27;14;41;11;3
12.09.2021;Stadtratswahl;03403000;210;210 GS Paul-Maar-Schule;1;1;908;229;0;1137;378;0;5;373;1085;163;204;367;125;30;6;15;1;3;1;0;1;10;4;8;102;103;205;53;14;3;4;3;4;4;7;4;1;0;6;175;107;282;38;21;10;7;9;11;8;3;;;38;50;88;16;6;26;0;2;29;24;53;5;6;3;5;0;0;1;4;;13;6;19;6;4;7;11;3;0;2;2;;16;20;36;9;11;;;;;;;;;18;6;24;1;5
12.09.2021;Stadtratswahl;03403000;211;211 Grundschule Drielake;1;1;1357;323;0;1680;545;0;6;539;1594;175;216;391;111;50;13;2;9;3;8;5;4;3;5;3;101;70;171;35;8;4;7;4;1;1;0;2;6;0;2;347;214;561;82;43;21;10;21;18;13;6;;;143;127;270;49;15;41;2;20;32;16;48;4;3;3;3;2;1;0;0;;41;15;56;15;5;1;6;1;0;0;0;;25;26;51;7;19;;;;;;;;;19;21;40;10;11
12.09.2021;Stadtratswahl;03403000;212;212 Grundschule Drielake;1;1;1258;265;0;1523;525;0;14;511;1500;232;288;520;171;58;21;11;4;2;10;1;1;5;4;0;58;90;148;39;11;1;2;2;4;2;1;0;1;0;27;266;173;439;65;47;9;8;12;7;9;16;;;97;138;235;40;19;57;9;13;16;23;39;9;3;3;4;2;1;1;0;;33;30;63;30;5;10;15;1;9;0;0;;18;8;26;6;2;;;;;;;;;10;5;15;1;4
12.09.2021;Stadtratswahl;03403000;213;213 GS Paul-Maar-Schule;1;1;1037;233;0;1270;495;0;5;490;1414;234;261;495;178;28;11;7;8;6;4;4;3;4;2;6;94;187;281;77;11;15;16;1;16;8;3;8;12;3;17;182;141;323;29;30;11;17;17;11;15;11;;;32;52;84;19;2;27;2;2;72;42;114;16;5;2;10;0;1;3;5;;30;20;50;20;1;7;8;3;4;0;0;;12;17;29;7;10;;;;;;;;;18;12;30;8;4
12.09.2021;Stadtratswahl;03403000;214;214 GS Drielake;1;1;885;340;0;1225;435;0;4;431;1264;141;304;445;209;47;9;13;3;4;7;3;1;4;3;1;85;174;259;55;16;10;6;31;12;4;10;1;1;3;25;185;163;348;88;37;6;4;5;4;7;12;;;43;42;85;22;3;9;1;7;23;19;42;9;2;1;5;0;1;0;1;;32;11;43;11;0;4;4;1;1;2;0;;4;6;10;2;4;;;;;;;;;24;4;28;2;2
12.09.2021;Stadtratswahl;03403000;301;301 Grundschule Bloherfelde;1;1;1133;350;0;1483;578;0;11;567;1659;233;320;553;95;59;81;23;16;5;8;2;7;2;5;17;169;119;288;43;23;16;2;8;4;8;1;5;2;5;2;305;208;513;82;29;10;13;10;22;23;19;;;66;47;113;14;25;6;2;;41;39;80;23;2;3;4;3;4;;;;37;13;50;13;4;9;13;4;0;2;3;;8;7;15;7;;6;3;9;3;;;;;15;10;25;5;5
